,source_genesymbol,type,target_genesymbol
9049,PASK,post_translational,GYS1
9051,F2RL3,post_translational,GNA14
9052,F2RL3,post_translational,GNAI3
9053,F2RL3,post_translational,GNAO1
9054,F2RL3,post_translational,GNAZ
9055,F2RL3,post_translational,GNAL
9056,F2RL3,post_translational,GNAQ
9057,F2RL3,post_translational,GNAI1
9058,F2RL3,post_translational,GNA12
9059,F2RL3,post_translational,GNA13
9060,F2RL3,post_translational,GNAS
9062,TNFRSF13C,post_translational,TRAF3
9063,UIMC1,post_translational,BRCA1
9064,CAMKK2,post_translational,PRKAA2
9065,CAMKK2,post_translational,PRKAA1
9067,TRIB3,post_translational,AKT1
9068,NODAL,post_translational,ACVR1B
9069,NODAL,post_translational,ACVR1C
9070,TP53RK,post_translational,TP53
9071,PIGS,post_translational,GPAA1
9072,PIGS,post_translational,PIGK
9073,TESK2,post_translational,CFL1
9074,TESK2,post_translational,DSTN
9075,TESK2,post_translational,CFL2
9076,RANBP9,post_translational,DYRK1B
9078,CLCC1,post_translational,PIGBOS1
9079,SRPK1,post_translational,RBM8A
9080,FIZ1,post_translational,CRX
9081,FIZ1,post_translational,NRL
9082,CDK5RAP2,post_translational,APP
9083,CYTH2,post_translational,ARF6
9084,CDK5RAP2,post_translational,TUBG1
9085,CDK5RAP2,post_translational,CDC20
9086,RBM15,post_translational,SON
9087,SETDB2,post_translational,H3-3A
9088,SETDB2,post_translational,H3-4
9089,GPHA2,post_translational,TSHR
9090,CDC5L,post_translational,HNRNPM
9091,S1PR3,post_translational,GNA14
9092,S1PR3,post_translational,GNAI3
9093,S1PR3,post_translational,GNAO1
9094,GPER1,post_translational,GNG2
9095,S1PR3,post_translational,GNAZ
9096,S1PR3,post_translational,GNAL
9097,S1PR3,post_translational,GNAQ
9098,S1PR3,post_translational,GNAI1
9099,S1PR3,post_translational,GNA13
9100,S1PR3,post_translational,GNAS
9101,EYA1,post_translational,H2AX
9102,EYA3,post_translational,H2AX
9103,EYA3,post_translational,DACH1_SIX1
9104,NEU1,post_translational,ITGA5_ITGB1
9105,GPER1,post_translational,EGFR
9106,GPER1,post_translational,GNAQ
9107,TSC22D3,post_translational,FOXO4
9108,GPER1,post_translational,GNB1
9109,MMP19,post_translational,ACAN
9110,MAP3K14,post_translational,NFKB2
9111,MAP3K14,post_translational,CHUK_IKBKB_IKBKG
9112,TSC22D3,post_translational,FOXO3
9113,RIT2,post_translational,POU4F1
9114,SCAF11,post_translational,PSEN1
9115,NDN,post_translational,PIAS1
9116,NDN,post_translational,E2F1
9117,NDN,post_translational,PPARGC1A
9118,NDN,post_translational,EID1
9119,PHB2,post_translational,MYOD1
9120,PHB2,post_translational,MEF2A
9121,LPAR4,post_translational,GNA14
9122,LPAR4,post_translational,GNAI3
9123,LPAR4,post_translational,GNAO1
9124,LPAR4,post_translational,GNAZ
9125,LPAR4,post_translational,GNAL
9126,LPAR4,post_translational,GNAQ
9127,LPAR4,post_translational,GNAI1
9128,LPAR4,post_translational,GNAS
9129,MAP3K6,post_translational,MAP3K5
9132,MAP3K5,post_translational,CDKN1A
9133,MAP3K5,post_translational,ZNF622
9134,DOK1,post_translational,ITGA2_ITGB1
9135,ETS1,post_translational,GFI1
9136,GFI1,post_translational,ETS1
9137,GFI1,post_translational,SPI1
9138,DOK1,post_translational,ITGB3
9139,DOK1,post_translational,ITGB2
9140,DOK1,post_translational,ITGB1
9141,DOK1,post_translational,ITGB4
9142,DOK1,post_translational,ITGB5
9143,DOK1,post_translational,ITGB6
9144,DOK1,post_translational,ITGB7
9145,DOK1,post_translational,ITGA6_ITGB1
9146,DOK1,post_translational,ITGA8_ITGB1
9147,DOK1,post_translational,ITGA9_ITGB1
9148,DOK1,post_translational,ITGA10_ITGB1
9149,DOK1,post_translational,ITGA11_ITGB1
9150,DOK1,post_translational,ITGAL_ITGB2
9151,DOK1,post_translational,ITGAM_ITGB2
9152,DOK1,post_translational,ITGAX_ITGB2
9153,DOK1,post_translational,ITGAD_ITGB2
9154,DOK1,post_translational,ITGA2B_ITGB3
9155,DOK1,post_translational,ITGAV_ITGB2
9156,DOK1,post_translational,ITGAV_ITGB3
9157,DOK1,post_translational,ITGAV_ITGB5
9158,DOK1,post_translational,ITGAE_ITGB7
9159,DOK1,post_translational,ITGA4_ITGB7
9160,MCHR1,post_translational,GNAI3
9161,MCHR1,post_translational,GNAO1
9162,MCHR1,post_translational,GNAL
9163,MCHR1,post_translational,GNAQ
9164,MCHR1,post_translational,GNAI1
9165,MCHR1,post_translational,GNAS
9166,RBBP8,post_translational,SPEN
9167,RBBP8,post_translational,BABAM2_BARD1_BRCA1_BRCA2_BRCC3_RAD51
9169,NRTN,post_translational,RET
9170,NRTN,post_translational,GFRA1
9171,MDFI,post_translational,MYF5
9172,MDFI,post_translational,MYOD1
9173,MDFI,post_translational,MYOG
9174,MAP3K3,post_translational,MAP2K4
9175,MAP3K3,post_translational,MAP2K3
9176,MAP3K3,post_translational,RCAN1
9177,APBA2,post_translational,STXBP1
9178,APBA2,post_translational,NRXN1
9179,WWTR1,post_translational,PPARG
9180,CIB1,post_translational,ITGA2B_ITGB3
9181,SMO,post_translational,GNAI2
9182,SMO,post_translational,FYN
9183,SMO,post_translational,GNAI3
9184,SMO,post_translational,CXCL1
9185,SMO,post_translational,GNAT1
9186,SMO,post_translational,SRC
9187,SMO,post_translational,GNB3
9188,SMO,post_translational,GNAT2
9189,WWTR1,post_translational,NKX2-1
9190,SMO,post_translational,GATA3
9191,SMO,post_translational,ARRB2
9192,SMO,post_translational,GNAI1
9193,SMO,post_translational,GNGT1
9194,SMO,post_translational,GNG3
9195,SMO,post_translational,TIAM1
9196,SMO,post_translational,KIF7
9197,SMO,post_translational,STK36
9198,SMO,post_translational,GNG12
9199,SMO,post_translational,SUFU
9201,MYD88,post_translational,DHX9
9202,MYD88,post_translational,TRAF3
9203,MYD88,post_translational,DHX36
9204,MYD88,post_translational,TRAF6
9205,PRMT1,post_translational,FUS
9206,PRMT1,post_translational,CNBP
9207,PRMT1,post_translational,TAF15
9208,BAG1,post_translational,HSPA8
9210,PTPN18,post_translational,ERBB2
9211,TBL1Y,post_translational,CTBP1
9213,DUSP9,post_translational,MAPK14
9214,PKP2,post_translational,DSP
9215,SEMA3C,post_translational,NRP2
9216,SEMA3C,post_translational,PLXNA2
9217,VRK1,post_translational,BANF1
9219,VRK1,post_translational,TP53
9220,VRK1,post_translational,JUN
9221,VRK1,post_translational,H3C8
9222,VRK1,post_translational,TP53BP1
9223,AKAP9,post_translational,TRIP10
9224,DPYSL5,post_translational,MAP2
9225,MKNK1,post_translational,PLA2G4A
9226,P2RY13,post_translational,GNA14
9227,P2RY13,post_translational,GNAO1
9228,P2RY13,post_translational,GNA15
9229,P2RY13,post_translational,GNAQ
9230,P2RY13,post_translational,GNA12
9231,P2RY13,post_translational,GNA13
9232,FERMT1,post_translational,FBLIM1
9233,FYCO1,post_translational,MAP1LC3B
9234,FYCO1,post_translational,MAP1LC3A
9235,ARHGAP9,post_translational,RAC1
9236,CENPK,post_translational,SOX6
9237,ERP44,post_translational,ITPR1
9238,PIMREG,post_translational,PICALM
9239,KIFC1,post_translational,CENPE
9240,NDFIP1,post_translational,NEDD4
9241,WAC,post_translational,PLK1
9242,PI4K2A,post_translational,CLSPN
9243,MKNK1,post_translational,SPRY2
9244,CRB3,post_translational,LIN7C_PALS1_PATJ
9245,DUSP26,post_translational,TP53
9246,DUSP26,post_translational,FADD
9247,COLEC11,post_translational,MASP1
9249,BRIP1,post_translational,BLM
9250,SORBS1,post_translational,CBL
9251,GPR174,post_translational,GNAL
9252,GPR174,post_translational,GNA13
9253,GPR174,post_translational,GNAS
9254,KLF16,post_translational,SIN3A
9255,PINK1,post_translational,HTRA2
9256,PINK1,post_translational,LETM1
9257,PINK1,post_translational,UBC
9258,PINK1,post_translational,TUFM
9259,PINK1,post_translational,RAB8A
9260,PINK1,post_translational,CYCS
9261,PINK1,post_translational,HIF3A
9262,WNK3,post_translational,SLC12A2
9263,MAP1LC3C,post_translational,NBR1
9264,MAP1LC3C,post_translational,WDFY3
9265,RSPO3,post_translational,SDC4
9266,HDAC8,post_translational,TP53
9267,KDM5D,post_translational,H3-3A
9268,KDM5D,post_translational,H3-4
9269,SHANK3,post_translational,ACTN1
9270,SHANK3,post_translational,GRIA1
9271,SHANK3,post_translational,GRIA2
9272,ASXL3,post_translational,KDM1A
9273,SHANK3,post_translational,GRIA3
9274,SHANK3,post_translational,GRIA4
9275,ACE2,post_translational,AGT
9276,RBCK1,post_translational,BACH1
9277,WNK3,post_translational,SLC12A3
9278,WNK3,post_translational,SLC12A1
9279,WNK3,post_translational,SLC12A5
9280,WNK3,post_translational,WNK1
9281,WNK3,post_translational,SLC12A6
9282,WNK3,post_translational,SLC12A4
9283,WNK3,post_translational,SLC12A7
9284,NSD3,post_translational,MYC
9285,NSD3,post_translational,IRF3
9286,ASPSCR1,post_translational,VCPKMT
9287,UPF3B,post_translational,UPF1
9288,TBL1XR1,post_translational,AR
9289,TBL1XR1,post_translational,BCL3
9290,PRKD2,post_translational,SSH1
9291,PRKD2,post_translational,PI4KB
9295,SPRY4,post_translational,RAF1
9297,SPRY4,post_translational,TESK1
9298,SETD5,post_translational,H3C8
9299,SETD5,post_translational,H3-3A
9300,SETD5,post_translational,H3-4
9301,ZDHHC5,post_translational,S1PR1
9302,ZDHHC5,post_translational,EZH2
9303,PHACTR1,post_translational,PPP1CA
9304,ASXL3,post_translational,BRD4
9305,ASXL3,post_translational,THRB
9306,ASXL3,post_translational,CBX5
9307,ASXL3,post_translational,NR1H3
9308,ARHGAP39,post_translational,CDC42
9309,ARHGAP39,post_translational,RAC1
9310,NDEL1,post_translational,DYNC1H1
9311,NMUR2,post_translational,GNA14
9312,NMUR2,post_translational,GNAI3
9313,CTDSP1,post_translational,POLR2A
9314,NMUR2,post_translational,GNAO1
9315,NMUR2,post_translational,GNAZ
9316,NMUR2,post_translational,GNA15
9317,NMUR2,post_translational,GNAQ
9318,NMUR2,post_translational,GNAI1
9319,NMUR2,post_translational,GNA12
9320,NPFFR1,post_translational,GNAI3
9321,NPFFR1,post_translational,GNAO1
9322,NPFFR1,post_translational,GNAZ
9323,NPFFR1,post_translational,GNAI1
9324,MAP1LC3B,post_translational,NBR1
9325,WNT10A,post_translational,LRP5
9326,WNT10A,post_translational,LRP6
9327,WNT10A,post_translational,FZD3
9328,CTDSP1,post_translational,SMAD3
9329,CTDSP1,post_translational,TWIST1
9330,CTDSP1,post_translational,SMAD2
9331,WWTR1,post_translational,DVL1
9332,WWTR1,post_translational,MYOD1
9333,WWTR1,post_translational,PAX3
9334,WWTR1,post_translational,TEAD1
9335,WWTR1,post_translational,SMAD3
9336,WWTR1,post_translational,PAX8
9337,WWTR1,post_translational,RUNX2
9338,WWTR1,post_translational,TTF1
9339,WWTR1,post_translational,TEAD4
9340,WWTR1,post_translational,TEAD2
9341,WWTR1,post_translational,SMAD2
9342,WWTR1,post_translational,TEAD3
9343,MFF,post_translational,DNM1L
9344,MAF1,post_translational,_CRCP_POLR1C_POLR1D_POLR2E_POLR2F_POLR2H_POLR2K_POLR2L_POLR3A_POLR3B_POLR3C_POLR3D_POLR3E_POLR3F_POLR3G_POLR3H_POLR3K
9345,NUAK2,post_translational,LATS1
9346,KLC2,post_translational,FYCO1
9347,RACGAP1,post_translational,RAC1
9348,SIK2,post_translational,IRS1
9349,SIK2,post_translational,CRTC2
9350,SIK2,post_translational,CEP250
9351,WWP1,post_translational,TGFBR1
9352,RAB6C,post_translational,VPS13B
9353,ATG10,post_translational,ATG12_ATG16L1_ATG5
9354,CDH19,post_translational,CTNNB1
9355,ZBP1,post_translational,RIPK3
9356,SIL1,post_translational,HSPA5
9357,IRF2BPL,post_translational,CTNNB1
9358,LPAR5,post_translational,GNAI3
9359,LPAR5,post_translational,GNAO1
9360,LPAR5,post_translational,GNAZ
9361,LPAR5,post_translational,GNAI1
9362,LPAR5,post_translational,GNA12
9363,LPAR5,post_translational,GNA13
9364,MAP3K4,post_translational,MAP2K3
9365,KIF13A,post_translational,ZFYVE26
9366,KIF13A,post_translational,TTC19
9367,KIF13A,post_translational,EEA1_RAB10_RAB14_RAB21_RAB22A_RAB4A_RAB5A_RBSN
9368,WNT8A,post_translational,LRP5
9369,WNT8A,post_translational,FZD3
9370,WNT5B,post_translational,FZD6
9371,WNT5B,post_translational,LRP5
9372,WNT5B,post_translational,LRP6
9373,WNT5B,post_translational,FZD3
9374,MYLK2,post_translational,MEF2C
9375,CDT1,post_translational,MCM2
9376,CDT1,post_translational,MCM2_MCM3_MCM4_MCM5_MCM6_MCM7
9377,VPS11,post_translational,RDX
9378,S1PR5,post_translational,GNAI3
9379,S1PR5,post_translational,GNAI1
9380,PORCN,post_translational,WNT3A
9381,P2RY12,post_translational,GNAI3
9382,P2RY12,post_translational,GNAO1
9383,P2RY12,post_translational,GNAZ
9384,P2RY12,post_translational,GNAI1
9385,CDH23,post_translational,CTNNB1
9386,CARD9,post_translational,BCL10
9387,VPS11,post_translational,EZR
9388,SLK,post_translational,MAP3K5
9389,TNKS2,post_translational,AXIN1
9390,TNKS2,post_translational,CASC3
9391,TNKS2,post_translational,TERF1
9392,TNKS2,post_translational,TARDBP
9393,TNKS2,post_translational,PSMF1
9394,TNKS2,post_translational,BLZF1
9395,TNKS2,post_translational,AXIN2
9396,TNKS2,post_translational,APC_AXIN1_GSK3B
9397,TAOK3,post_translational,STK4
9398,TAOK3,post_translational,STK3
9399,ADNP,post_translational,CTNNB1
9400,ADNP,post_translational,CTCF
9401,ADNP,post_translational,MAP1LC3B
9402,ADNP,post_translational,ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1
9403,DPH5,post_translational,EEF2
9404,RANBP17,post_translational,TCF3
9405,HIPK2,post_translational,CREB1
9407,HIPK2,post_translational,HMGA1
9408,HIPK2,post_translational,PAX6
9409,HIPK2,post_translational,CDKN1B
9410,HIPK2,post_translational,MECP2
9412,HIPK2,post_translational,ZBTB4
9413,PARL,post_translational,PINK1
9414,KCTD10,post_translational,RHOA
9415,GHITM,post_translational,CYCS
9416,HRH4,post_translational,GNAI3
9417,HRH4,post_translational,GNAI1
9418,KDM4C,post_translational,KDM1A
9419,KDM4C,post_translational,H2AC4
9420,KDM4C,post_translational,AR
9421,KDM4C,post_translational,H3-3A
9422,KDM4C,post_translational,HIF1A
9423,KDM4C,post_translational,H3-4
9424,HIPK3,post_translational,FADD
9425,FZD8,post_translational,LRP5
9426,FZD8,post_translational,LRP6
9427,POFUT1,post_translational,NOTCH1
9428,WNK1,post_translational,OXSR1
9429,WNK1,post_translational,SYT2
9430,WNK1,post_translational,STK39
9431,WNK1,post_translational,SLC12A6
9432,PLK3,post_translational,JUN
9433,PLK3,post_translational,TOP2A
9434,PLK3,post_translational,ATF2
9435,PLK3,post_translational,CDC25A
9436,PLK3,post_translational,CDC25C
9437,PLK3,post_translational,SNCA
9438,PLK3,post_translational,PTEN
9439,PLK3,post_translational,BCL2L1
9440,PLK3,post_translational,SNCB
9441,PLK3,post_translational,HIF1A
9442,PLK3,post_translational,VRK1
9444,SAV1,post_translational,STK4
9446,SAV1,post_translational,STK3
9447,DEF6,post_translational,CDC42
9448,DEF6,post_translational,RAP1B
9449,DEF6,post_translational,RAP1A
9450,SMARCAD1,post_translational,HDAC1
9451,USP8,post_translational,RNF41
9455,SOX17,post_translational,CTNNB1
9456,SLA2,post_translational,FLT3
9457,EGLN3,post_translational,ADRB2
9458,SMURF1,post_translational,SMAD9
9459,EGLN3,post_translational,IKBKG
9460,MOB1A,post_translational,LATS1
9461,MOB1A,post_translational,LATS2
9462,PLEKHF2,post_translational,EEA1
9464,PELI2,post_translational,IRAK1
9465,SMURF2,post_translational,BMPR1A
9466,SMURF2,post_translational,TGFBR2
9467,SMURF2,post_translational,BMPR2
9468,SMURF2,post_translational,SMAD5
9469,UPF2,post_translational,UPF1
9470,GRPEL1,post_translational,HSPA8
9471,CLK4,post_translational,ABL1
9472,PRDM16,post_translational,SKI
9473,PRDM16,post_translational,PPARG
9474,NTN4,post_translational,UNC5A
9475,NMUR1,post_translational,GNA14
9476,NMUR1,post_translational,GNAQ
9477,RRAGC,post_translational,RPTOR
9478,RRAGC,post_translational,AKT1S1_DEPTOR_MLST8_MTOR_RPTOR
9479,PATZ1,post_translational,RNF4
9480,CDH20,post_translational,CTNNB1
9481,LPAR2,post_translational,GNA14
9482,LPAR2,post_translational,GNAI3
9483,LPAR2,post_translational,GNAO1
9484,LPAR2,post_translational,GNAZ
9485,LPAR2,post_translational,GNAL
9486,LPAR2,post_translational,GNAQ
9487,LPAR2,post_translational,GNAI1
9488,LPAR2,post_translational,GNA12
9489,LPAR2,post_translational,GNA13
9490,LPAR2,post_translational,GNAS
9491,LRRC4,post_translational,DLG4
9492,SGK2,post_translational,FOXO3
9493,NOD2,post_translational,ATG16L1
9494,GPR35,post_translational,GNAI3
9495,GPR35,post_translational,GNAO1
9496,GPR35,post_translational,GNAZ
9497,GPR35,post_translational,GNAI1
9498,GPR35,post_translational,GNA12
9499,GPR35,post_translational,GNA13
9501,NEK6,post_translational,SGK1
9503,NEK6,post_translational,RPS6KB1
9504,NEK6,post_translational,ACD
9505,TANC2,post_translational,KIF1A
9506,MOV10,post_translational,IKBKE
9507,MOV10,post_translational,UPF1
9508,SMURF1,post_translational,BMPR1A
9509,SMURF1,post_translational,TGFBR2
9510,SMURF1,post_translational,SMAD4
9511,SMURF1,post_translational,BMPR2
9512,SMURF1,post_translational,SMAD1
9513,SMURF1,post_translational,DAB2IP
9514,SMURF1,post_translational,SMAD5
9515,LRRC4C,post_translational,DLG4
9516,SDF2L1,post_translational,LRP4
9517,CSNK1G1,post_translational,FOXO1
9518,BRMS1,post_translational,KDM1A
9519,BRMS1,post_translational,EP300
9520,GOPC,post_translational,ADRB1
9521,GOPC,post_translational,BECN1
9522,PTPRH,post_translational,INSR
9523,PTPRH,post_translational,GHR
9524,IL1RAPL2,post_translational,NCS1
9525,SSU72,post_translational,POLR2A
9526,MMP25,post_translational,MMP2
9527,MID1IP1,post_translational,ACACB
9528,MID1IP1,post_translational,ACACA
9529,PARD6A,post_translational,PRKCA
9530,LTB4R2,post_translational,GNAI3
9531,LTB4R2,post_translational,GNAI1
9532,NOP10,post_translational,TERT
9533,FZD3,post_translational,DVL1
9534,FZD3,post_translational,CXCL1
9535,FZD3,post_translational,GNB3
9536,FZD3,post_translational,GNAQ
9537,FZD3,post_translational,RHOA
9538,FZD3,post_translational,GNB1
9539,FZD3,post_translational,GNGT1
9540,FZD3,post_translational,GNA12
9541,FZD3,post_translational,GNA13
9542,FZD3,post_translational,NLK
9543,IL1RAP,post_translational,TOLLIP
9545,RTN4,post_translational,LINGO1
9546,CYLD,post_translational,MAP3K7
9547,CYLD,post_translational,BCL3
9548,CYLD,post_translational,TRAF2
9549,CYLD,post_translational,TRAF6
9550,RRAGD,post_translational,RPTOR
9551,RRAGD,post_translational,AKT1S1_DEPTOR_MLST8_MTOR_RPTOR
9552,GPR84,post_translational,GNAI3
9553,GPR84,post_translational,GNAO1
9554,GPR84,post_translational,GNAZ
9555,GPR84,post_translational,GNAI1
9556,AURKA,post_translational,INCENP
9557,INCENP,post_translational,AURKA
9558,PAK6,post_translational,SYNJ1
9559,PAK6,post_translational,PACSIN1
9561,GPHN,post_translational,ARHGEF9
9562,GPHN,post_translational,NLGN2
9563,SIRT7,post_translational,TP53
9564,DDX21,post_translational,JUN
9565,DDX21,post_translational,TICAM1
9566,SAR1A,post_translational,SEC24D
9567,SAR1A,post_translational,SEC24B
9568,SAR1A,post_translational,SEC24C
9569,SAR1A,post_translational,SEC23B
9570,SIRT7,post_translational,SAR1A
9571,SAR1A,post_translational,SEC13_SEC16A_SEC23A_SEC23B_SEC24A_SEC24B_SEC24C_SEC24D_SEC31A_SEC31B
9572,ARHGEF4,post_translational,CDC42
9573,ARHGEF4,post_translational,RHOA
9574,ARHGEF3,post_translational,RHOA
9575,TLR9,post_translational,TIRAP
9576,TLR9,post_translational,TICAM2
9577,TLR9,post_translational,TICAM1
9578,PICK1,post_translational,GRIA2
9579,PICK1,post_translational,ASIC1
9580,PICK1,post_translational,BNC1
9581,DISC1,post_translational,KIF5B
9582,DISC1,post_translational,PAFAH1B1
9583,DISC1,post_translational,NDEL1
9584,STRN4,post_translational,PPP2CB
9585,STRN4,post_translational,PPP2CA
9586,LATS2,post_translational,SNAI1
9587,LATS2,post_translational,YAP1
9589,RASSF1,post_translational,STK4
9590,LATS2,post_translational,YWHAG
9591,LATS2,post_translational,WWTR1
9592,UBQLN4,post_translational,MRE11
9593,RAB6B,post_translational,VPS13B
9594,DUSP22,post_translational,ESR1
9596,ARHGAP35,post_translational,RHOA
9597,ARHGAP35,post_translational,RAC1
9598,TOPORS,post_translational,TP53
9599,CYSLTR2,post_translational,GNA14
9600,CYSLTR2,post_translational,GNAI3
9601,CYSLTR2,post_translational,GNAZ
9602,CYSLTR2,post_translational,GNAQ
9603,RAD18,post_translational,PCNA
9604,LRRC4B,post_translational,DLG4
9605,SIRT3,post_translational,IDH2
9606,RNF146,post_translational,AXIN1
9607,RNF146,post_translational,CASC3
9608,RNF146,post_translational,TNKS
9609,RNF146,post_translational,BLZF1
9610,RNF146,post_translational,TNKS2
9611,RNF146,post_translational,AXIN2
9612,RNF146,post_translational,APC_AXIN1_GSK3B
9613,MDN1,post_translational,PELP1
9614,POT1,post_translational,TERT
9615,POT1,post_translational,RPA2
9616,POT1,post_translational,RPA1
9617,POT1,post_translational,RPA3
9618,NDFIP2,post_translational,NEDD4
9619,PIH1D1,post_translational,AKT1S1_DEPTOR_MLST8_MTOR_RPTOR
9620,HIF1AN,post_translational,NOTCH1
9621,IRAK4,post_translational,NCF1
9622,IRAK4,post_translational,PELI2
9623,SDHAF2,post_translational,SDHB
9624,NHP2,post_translational,TERT
9625,SYBU,post_translational,STX1A
9626,SIRT5,post_translational,GLS
9627,SIRT5,post_translational,G6PD
9628,SIRT5,post_translational,IDH2
9629,SIRT5,post_translational,ACOX1
9630,FBXL12,post_translational,CAMK1
9631,CDKN2AIP,post_translational,TP53
9632,GAR1,post_translational,TERT
9633,DACT1,post_translational,DVL2
9634,FAM13B,post_translational,CDC42
9635,FAM13B,post_translational,RAC1
9636,CDK12,post_translational,POLR2A
9637,PLK2,post_translational,NPM1
9638,PLK2,post_translational,SNCA
9639,PLK2,post_translational,SNCB
9640,PLK2,post_translational,FBXW7
9641,PLK2,post_translational,CENPJ
9642,PSENEN,post_translational,RYK
9643,PSENEN,post_translational,PSEN1
9645,NLGN3,post_translational,NRXN2
9646,NLGN3,post_translational,DLG4
9647,NLGN3,post_translational,NRXN1
9649,NLGN3,post_translational,NRXN3
9651,AHSP,post_translational,HBA1
9652,MAT2B,post_translational,GIT1
9653,IL1RAPL1,post_translational,NCS1
9655,ARHGEF12,post_translational,RHOA
9656,C1RL,post_translational,HP
9657,LRP1B,post_translational,DVL2
9658,BFAR,post_translational,CASP8
9659,PDP1,post_translational,PDHA1
9660,PDP1,post_translational,SMAD1
9661,SENP1,post_translational,AKT1
9662,SENP1,post_translational,HIF1A
9663,SENP1,post_translational,GCM1
9664,SH3BP4,post_translational,TFRC
9665,GMIP,post_translational,CDC42
9666,GMIP,post_translational,RHOA
9667,GMIP,post_translational,RAC1
9668,DLGAP2,post_translational,DLG4
9669,DLGAP2,post_translational,SHANK3
9670,PIM2,post_translational,PKM
9671,FBLN5,post_translational,ELN
9672,PIM2,post_translational,CDKN1A
9673,PIM2,post_translational,BAD
9674,ARHGAP23,post_translational,RHOA
9675,ARHGAP23,post_translational,RAC1
9676,FNIP2,post_translational,HSP90AA1
9677,FNIP2,post_translational,HSP90AB1
9678,PAK5,post_translational,SYNJ1
9679,PAK5,post_translational,BAD
9680,PAK5,post_translational,PACSIN1
9681,STK26,post_translational,EZR
9682,CTTNBP2NL,post_translational,STRN
9683,CTTNBP2NL,post_translational,CTTN
9684,CTTNBP2NL,post_translational,STRN4
9685,ARHGAP20,post_translational,CDC42
9686,ARHGAP20,post_translational,RHOA
9687,ARHGAP20,post_translational,RAC1
9688,PDP2,post_translational,PDHA1
9689,PDP2,post_translational,SMAD1
9690,EIF2AK4,post_translational,MARS1
9691,ARHGAP28,post_translational,RHOA
9692,RERE,post_translational,NOTCH1
9693,RERE,post_translational,BAX
9694,UVRAG,post_translational,RINT1
9695,UVRAG,post_translational,PIK3C3
9696,GALP,post_translational,GALR2
9697,NLK,post_translational,TCF4
9698,NLK,post_translational,STAT3
9699,NLK,post_translational,NOTCH1
9700,GNG12,post_translational,PRKACA
9701,GNG12,post_translational,AKT2
9702,GNG12,post_translational,PIK3CA
9703,GNG12,post_translational,PLCE1
9704,GNG12,post_translational,PIK3CA_PIK3R1
9705,ASH2L,post_translational,TBX1
9706,ASH2L,post_translational,GATA3
9707,HDAC6,post_translational,SRSF2
9708,NOTCH1,post_translational,HEY2
9710,LHX3,post_translational,ISL1
9711,LHX3,post_translational,ISL2
9712,RPS6KB2,post_translational,MXD1
9713,RPS6KB2,post_translational,PDCD4
9714,DNAJB9,post_translational,HSPA5
9715,FAM8A1,post_translational,SYVN1
9716,WNT16,post_translational,LRP6
9717,WNT16,post_translational,FZD3
9718,LPAR3,post_translational,GNA14
9719,LPAR3,post_translational,GNAI3
9720,LPAR3,post_translational,GNAO1
9721,LPAR3,post_translational,GNAZ
9722,LPAR3,post_translational,GNA15
9723,LPAR3,post_translational,GNAL
9724,LPAR3,post_translational,GNAQ
9725,LPAR3,post_translational,GNAI1
9726,LPAR3,post_translational,GNA12
9727,LPAR3,post_translational,GNA13
9728,CLN8,post_translational,PPP2CA
9729,PPP1R1B,post_translational,PPP1CB
9730,TJP2,post_translational,ARVCF
9731,TJP2,post_translational,YAP1
9732,TJP2,post_translational,WWTR1
9733,MALT1,post_translational,TAB2
9734,STK17A,post_translational,TP53
9735,DAXX,post_translational,AIRE
9736,DAXX,post_translational,MDM2
9737,STK39,post_translational,CFTR
9738,STK39,post_translational,SLC12A2
9739,STK39,post_translational,SLC12A3
9740,STK39,post_translational,SLC12A1
9741,STK39,post_translational,SLC4A4
9742,FBXL17,post_translational,SUFU
9743,RIMBP3,post_translational,RIMS1
9745,RIMBP3,post_translational,RIMS3
9746,RIMBP3,post_translational,RIMS2
9747,KDM5B,post_translational,CBX4
9748,KDM5B,post_translational,FOXG1
9749,KDM5B,post_translational,PAX9
9750,KDM5B,post_translational,H3-3A
9751,KDM5B,post_translational,H3-4
9752,SEC63,post_translational,SEC62
9753,SUN2,post_translational,RAB5A
9755,TBK1,post_translational,IKBKB
9756,TBK1,post_translational,AKT1
9757,TBK1,post_translational,STAT6
9758,TBK1,post_translational,RELA
9759,TBK1,post_translational,REL
9760,TBK1,post_translational,SQSTM1
9761,TBK1,post_translational,IRF5
9762,TBK1,post_translational,NFKB1_RELA
9763,TBK1,post_translational,REL_RELA
9764,UBQLN2,post_translational,HNRNPA1
9765,UBQLN2,post_translational,HNRNPA3
9766,UBQLN2,post_translational,HNRNPU
9767,UBQLN2,post_translational,TARDBP
9768,DDX20,post_translational,FOXL2
9769,ATP6V1H,post_translational,TGFBR1
9770,ATP6V1H,post_translational,AP2A2_AP2B1_AP2M1_AP2S1
9771,CTNNA3,post_translational,CDH1
9772,CTNNA3,post_translational,JUP
9773,CTNNA3,post_translational,CTNNB1
9774,MAD2L2,post_translational,CDC20
9775,MAD2L2,post_translational,FZR1
9776,LCMT1,post_translational,PPP2CB
9777,LCMT1,post_translational,PPP2CA
9778,MUTYH,post_translational,ATR
9779,MUTYH,post_translational,TOPBP1
